"Monthly Climate Statistics for 'MOUNT BULLER' [083024]"
"Created on [ 27 Aug 2025 14:49:48 UTC]"

"083024 MOUNT BULLER"
"Commenced: 1948"
"Last Record: 2025"
"Latitude:   37.15 Degrees South"
"Longitude:  146.44 Degrees East"
"Elevation:    1707 m"
"State: VIC"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 1 minimum temperature (°C) for years 1985 to 2024 ",1.7,2.5,0.4,-1.5,-2.7,-4.5,-5.5,-5.4,-4.5,-4.0,-1.8,-0.7, ,36,1985,2024
"Decile 9 minimum temperature (°C) for years 1985 to 2024 ",14.8,13.5,11.7,8.0,4.8,1.9,0.1,1.2,3.8,7.0,10.6,12.5, ,36,1985,2024
"Mean number of days <= 2 °C for years 1985 to 2025 ",3.0,2.5,4.5,9.2,17.8,25.0,28.6,28.3,23.3,15.9,9.1,6.0,173.2,39,1985,2025
"Mean number of days <= 0 °C for years 1985 to 2025 ",1.4,1.2,2.4,5.5,11.4,19.7,25.8,25.1,18.2,11.8,5.5,3.4,131.4,39,1985,2025
"Mean daily ground minimum temperature °C for years null to null ", , , , , , , , , , , , , ,, , 
"Lowest ground temperature °C for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Lowest ground temperature °C for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean number of days ground min. temp. <= -1 °C for years null to null ", , , , , , , , , , , , , ,, , 
"Mean rainfall (mm) for years 1948 to 2025 ",82.4,70.6,83.7,108.3,140.8,157.3,166.1,159.4,142.7,145.6,127.0,101.2,1488.1,43,1948,2025
"Highest rainfall (mm) for years 1948 to 2025 ",253.2,291.8,308.4,358.2,330.6,318.4,431.6,336.4,324.8,490.0,386.3,280.6,2241.2,43,1948,2025
"Date of Highest rainfall for years 1948 to 2025 ",2024,2011,2007,2020,2016,2016,1990,2017,1998,2022,1952,2017,2022,N/A,1948,2025
"Lowest rainfall (mm) for years 1948 to 2025 ",0.0,5.7,0.0,0.0,0.0,9.0,2.6,0.0,0.0,18.6,0.0,0.0,633.0,43,1948,2025
"Date of Lowest rainfall for years 1948 to 2025 ",2006,1991,2001,2001,1996,1994,1995,2000,2021,2006,2000,1953,1995,N/A,1948,2025
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",15.4,18.1,5.0,39.5,51.4,33.0,64.1,38.8,55.3,52.6,25.7,13.8, ,45,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",68.6,57.2,60.8,76.4,122.8,170.6,161.0,144.8,142.8,109.2,115.8,99.5, ,45,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",150.2,118.0,184.0,204.8,246.9,267.0,262.8,273.7,234.0,269.7,225.6,160.7, ,45,n/a,n/a
"Highest daily rainfall (mm) for years 1948 to 2025 ",101.6,100.8,115.4,116.6,82.0,97.6,87.2,89.8,128.0,106.8,82.6,138.6,138.6,41,1948,2025
"Date of Highest daily rainfall for years 1948 to 2025 ",05 Jan  1952,06 Feb  1953,21 Mar  2007,30 Apr  2020,30 May  1999,08 Jun  2023,05 Jul  1990,16 Aug  2017,09 Sep  1949,04 Oct  2023,15 Nov  1985,02 Dec  2017,02 Dec  2017,N/A,1948,2025
"Mean number of days of rain for years 1948 to 2025 ",7.9,6.8,8.5,10.8,13.7,15.2,17.1,17.4,14.6,14.2,11.6,9.6,147.4,44,1948,2025
"Mean number of days of rain >= 1 mm for years 1948 to 2025 ",6.0,5.1,5.8,7.6,10.6,12.0,13.5,14.2,12.2,10.9,9.3,7.4,114.6,41,1948,2025
"Mean number of days of rain >= 10 mm for years 1948 to 2025 ",2.8,2.2,2.5,3.3,4.4,4.8,5.7,5.3,5.1,4.6,4.3,3.1,48.1,41,1948,2025
"Mean number of days of rain >= 25 mm for years 1948 to 2025 ",1.0,0.8,1.0,1.4,1.6,1.8,1.7,1.6,1.3,1.6,1.5,1.2,16.5,41,1948,2025
"Mean daily wind run (km) for years 2006 to 2024 ",442,403,431,454,538,544,577,599,533,520,479,460,498,14,2006,2024
"Maximum wind gust speed (km/h) for years 2006 to 2025 ",124,126,126,150,133,144,133,150,154,139,122,135,154,17,2006,2025
"Date of Maximum wind gust speed for years 2006 to 2025 ",14 Jan  2011,05 Feb  2021,21 Mar  2013,15 Apr  2009,30 May  2024,05 Jun  2012,05 Jul  2013,25 Aug  2024,28 Sep  2012,01 Oct  2013,24 Nov  2014,19 Dec  2021,28 Sep  2012,N/A,2006,2025
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2025 ",25.1,21.7,17.2,11.7,7.9,5.9,6.3,9.1,13.3,18.5,21.9,24.9,15.3,35,1990,2025
"Mean number of clear days for years 1985 to 1992 ", , , , , , , , , , , , , ,8,1985,1992
"Mean number of cloudy days for years 1985 to 1992 ", , , , , , , , , , , , , ,8,1985,1992
"Mean daily evaporation (mm) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am temperature (°C) for years 1985 to 2010 ",11.9,11.9,9.8,6.6,3.7,0.9,-0.8,-0.4,1.9,4.5,8.0,9.7,5.6,25,1985,2010
"Mean 9am wet bulb temperature (°C) for years 1985 to 2010 ",9.1,9.1,7.2,5.1,2.6,0.2,-0.9,-0.5,1.0,3.3,5.7,7.2,4.1,23,1985,2010
"Mean 9am dew point temperature (°C) for years 1986 to 2010 ",5.5,5.9,4.1,2.0,-0.3,-1.7,-2.1,-2.1,-1.1,-0.1,1.8,3.7,1.3,22,1986,2010
"Mean 9am relative humidity (%) for years 1986 to 2010 ",69,71,72,77,81,86,90,87,83,75,71,70,78,22,1986,2010
"Mean 9am cloud cover (okas) for years 1985 to 1992 ", , , , , , , , , , , , , ,8,1985,1992
"Mean 9am wind speed (km/h) for years 1985 to 2010 ",18.3,17.4,17.4,18.3,19.6,22.2,24.6,23.8,23.1,20.5,19.6,18.3,20.3,22,1985,2010
"Mean 3pm temperature (°C) for years 1985 to 2010 ",15.1,15.1,12.7,8.2,4.6,1.6,0.1,0.7,3.2,6.3,10.3,12.4,7.5,25,1985,2010
"Mean 3pm wet bulb temperature (°C) for years 1985 to 2010 ",11.4,11.5,9.7,6.6,3.6,1.0,0.0,0.6,2.5,4.9,7.9,9.7,5.8,23,1985,2010
"Mean 3pm dew point temperature (°C) for years 1986 to 2010 ",8.1,8.0,6.4,4.3,1.8,-0.2,-1.3,-0.4,1.3,2.6,4.6,6.2,3.5,22,1986,2010
"Mean 3pm relative humidity (%) for years 1986 to 2010 ",66,66,69,79,85,89,90,91,87,78,71,68,78,22,1986,2010
"Mean 3pm cloud cover (oktas) for years 1985 to 1992 ", , , , , , , , , , , , , ,8,1985,1992
"Mean 3pm wind speed (km/h) for years 1985 to 2010 ",15.9,14.3,14.2,15.0,16.7,19.6,21.9,21.4,20.9,18.8,17.2,16.3,17.7,22,1985,2010
